time: 0update vector norm: tensor(78.2195, device='cuda:0') diff norm: tensor(145.3411, device='cuda:0') activation norm: tensor(11.0685, device='cuda:0') softmax output: tensor(0.0367, device='cuda:0')
time: 0update vector norm: tensor(35.5063, device='cuda:0') diff norm: tensor(55.8491, device='cuda:0') activation norm: tensor(4.7769, device='cuda:0') softmax output: tensor(0.0790, device='cuda:0')
time: 0update vector norm: tensor(20.4083, device='cuda:0') diff norm: tensor(31.2618, device='cuda:0') activation norm: tensor(2.9274, device='cuda:0') softmax output: tensor(0.0896, device='cuda:0')
time: 0update vector norm: tensor(11.2773, device='cuda:0') diff norm: tensor(18.5820, device='cuda:0') activation norm: tensor(1.9310, device='cuda:0') softmax output: tensor(0.1014, device='cuda:0')
time: 0update vector norm: tensor(6.5627, device='cuda:0') diff norm: tensor(12.1205, device='cuda:0') activation norm: tensor(1.3706, device='cuda:0') softmax output: tensor(0.1195, device='cuda:0')
time: 1update vector norm: tensor(87.3826, device='cuda:0') diff norm: tensor(150.0887, device='cuda:0') activation norm: tensor(11.4426, device='cuda:0') softmax output: tensor(0.0371, device='cuda:0')
time: 1update vector norm: tensor(51.0945, device='cuda:0') diff norm: tensor(65.7595, device='cuda:0') activation norm: tensor(5.6695, device='cuda:0') softmax output: tensor(0.0835, device='cuda:0')
time: 1update vector norm: tensor(31.1274, device='cuda:0') diff norm: tensor(43.8825, device='cuda:0') activation norm: tensor(4.2607, device='cuda:0') softmax output: tensor(0.0928, device='cuda:0')
time: 1update vector norm: tensor(18.6811, device='cuda:0') diff norm: tensor(27.8500, device='cuda:0') activation norm: tensor(3.1406, device='cuda:0') softmax output: tensor(0.1033, device='cuda:0')
time: 1update vector norm: tensor(8.6315, device='cuda:0') diff norm: tensor(15.7265, device='cuda:0') activation norm: tensor(2.0020, device='cuda:0') softmax output: tensor(0.1195, device='cuda:0')
time: 2update vector norm: tensor(92.9675, device='cuda:0') diff norm: tensor(160.2083, device='cuda:0') activation norm: tensor(12.2264, device='cuda:0') softmax output: tensor(0.0371, device='cuda:0')
time: 2update vector norm: tensor(58.3593, device='cuda:0') diff norm: tensor(69.6652, device='cuda:0') activation norm: tensor(6.0214, device='cuda:0') softmax output: tensor(0.0860, device='cuda:0')
time: 2update vector norm: tensor(36.4816, device='cuda:0') diff norm: tensor(49.4574, device='cuda:0') activation norm: tensor(4.8318, device='cuda:0') softmax output: tensor(0.0943, device='cuda:0')
